annee,patho_niv1,patho_niv2,patho_niv3,top,comorbidite,libelle_comorbidite,region,dept,Ncomorb,Ntop,Proportion_comorb,patho_niv2_comorb,patho_niv3_comorb,patho_niv1_comorb,Niveau prioritaire
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,212080.0,1634700.0,0.129739,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,TPS_ADR_EXC,Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),99,999,176380.0,1634700.0,0.107898,Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),Traitements psychotropes (hors pathologies),"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,MCV_SCO_CHR,Maladie coronaire chronique,99,999,133140.0,1634700.0,0.081445,Maladie coronaire,Maladie coronaire chronique,Maladies cardioneurovasculaires,"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,PSY_TNH_CAT,Troubles névrotiques et de l'humeur,99,999,110150.0,1634700.0,0.067381,Troubles névrotiques et de l'humeur,Troubles névrotiques et de l'humeur,Maladies psychiatriques,"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,MCV_ICA_CHR,Insuffisance cardiaque chronique,99,999,68450.0,1634700.0,0.041876,Insuffisance cardiaque,Insuffisance cardiaque chronique,Maladies cardioneurovasculaires,"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,CAN_AUT_SUR,Autres cancers sous surveillance,99,999,60750.0,1634700.0,0.037163,Autres cancers,Autres cancers sous surveillance,Cancers,"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,NEU_EPI_IND,Épilepsie,99,999,47850.0,1634700.0,0.029274,Épilepsie,Épilepsie,Maladies neurologiques,"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,MFP_CAT_EXC,Maladies du foie ou du pancréas (hors mucoviscidose),99,999,43900.0,1634700.0,0.026853,Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,PSY_AUT_IND,Autres troubles psychiatriques,99,999,32980.0,1634700.0,0.020173,Autres troubles psychiatriques,Autres troubles psychiatriques,Maladies psychiatriques,"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,NEU_PRK_IND,Maladie de Parkinson,99,999,31630.0,1634700.0,0.019352,Maladie de Parkinson,Maladie de Parkinson,Maladies neurologiques,"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,IFL_MIC_IND,Maladies inflammatoires chroniques intestinales,99,999,14000.0,1634700.0,0.008563,Maladies inflammatoires chroniques,Maladies inflammatoires chroniques intestinales,Maladies inflammatoires ou rares ou infection VIH,"1,2,3"
2015,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,IFL_SPA_IND,Spondylarthrite ankylosante ou maladies apparentées,99,999,11760.0,1634700.0,0.007195,Maladies inflammatoires chroniques,Spondylarthrite ankylosante ou maladies apparentées,Maladies inflammatoires ou rares ou infection VIH,"1,2,3"
